variant,model,n_features,cv_MAE,cv_RMSE,cv_R2
with_normalisation,PolynomialRidge2,24,0.1901469816080175,0.26714301060449414,0.9423332771245667
raw_plus_normalised,Ridge,48,0.19323379366058388,0.2444101843090872,0.9517301180414839
raw_plus_normalised,PolynomialRidge2,48,0.20748479226435393,0.2891738250474835,0.9324297385985628
with_normalisation,Ridge,24,0.2462384762242949,0.32694842820594355,0.9136233915905456
with_normalisation,RandomForest,24,0.2500887389380512,0.320317785173922,0.9170913687254872
with_normalisation,LinearRegression,24,0.2635441473217459,0.34100669274818846,0.9060355783171772
raw_plus_normalised,LinearRegression,48,0.2637510814190877,0.35920387642469176,0.8957395321731944
raw_plus_normalised,RandomForest,48,0.26978444690265363,0.33009269881136616,0.9119540311788427
with_normalisation,KNN_k5,24,0.2911631079509986,0.38454285104540903,0.8805112209467689
raw_plus_normalised,KNN_k5,48,0.30505974011350495,0.39998988464381774,0.8707187159751634
without_normalisation,PolynomialRidge2,24,0.3958248670940151,0.5750772939711825,0.7327670039705637
without_normalisation,KNN_k5,24,0.40076946908490935,0.49609681922258986,0.8011294271397886
without_normalisation,Ridge,24,0.4171544324239885,0.5341529757966043,0.7694479733812993
without_normalisation,RandomForest,24,0.44777508849557457,0.547607401867612,0.7576872540251675
without_normalisation,LinearRegression,24,0.6244374882601474,0.8024356117782153,0.47969496542988055
