dataset,subset,images,labelled,unlabelled,pH_min,pH_max,unique_pH,has_white_ref,has_black_ref,has_background_patch,has_bg_image,patch_types
A_pH_test_dataset,benchmark_test,48,48,0,5.005,8.4,12,0,0,0,48,0
A_pH_test_dataset,benchmark_train,24,24,0,5.0,8.552,8,0,0,24,24,"0,1"
A_pH_test_dataset,blue,33,33,0,5.036,8.493,21,1,1,33,33,"0,1,18,20"
A_pH_test_dataset,iphone6p_test,36,36,0,5.016,8.347,12,0,0,36,36,"0,1"
A_pH_test_dataset,iphone6p_train,21,21,0,5.016,8.5,7,0,0,21,21,"0,1"
A_pH_test_dataset,milk,18,18,0,5.823,6.658,6,1,1,18,18,"0,1,18,20"
A_pH_test_dataset,red,33,33,0,5.0,8.506,22,1,1,33,33,"0,1,18,20"
A_pH_test_dataset,samsung_j5_test,36,36,0,5.135,8.423,12,0,0,0,36,0
A_pH_test_dataset,samsung_j5_train,21,20,1,5.0,8.5,7,0,0,0,21,0
A_pH_test_dataset,samsung_s7_test,36,36,0,5.135,8.423,12,0,0,0,36,0
A_pH_test_dataset,samsung_s7_train,21,21,0,5.0,8.5,7,0,0,0,21,0
A_pH_test_dataset,training,21,21,0,5.037,8.565,7,0,0,21,21,"0,1"
A_pH_test_dataset,wine_testing,9,9,0,3.503,3.584,3,1,1,9,9,"0,1,18,20"
A_pH_test_dataset,wine_training,15,15,0,2.84,4.355,5,0,0,13,15,"0,1"
B_colorimetric_reader,Smartphone-Modulated-Colorimetric-Reader-with-Color-Subtraction-IEEE-Sensors-2019-master_datasets_blue,33,33,0,5.036,8.493,21,1,1,33,33,"0,1,18,20"
B_colorimetric_reader,Smartphone-Modulated-Colorimetric-Reader-with-Color-Subtraction-IEEE-Sensors-2019-master_datasets_red,33,33,0,5.0,8.506,22,1,1,33,33,"0,1,18,20"
B_colorimetric_reader,Smartphone-Modulated-Colorimetric-Reader-with-Color-Subtraction-IEEE-Sensors-2019-master_datasets_training,21,21,0,5.037,8.565,7,0,0,21,21,"0,1"
