features,model,cv_MAE,test_MAE,test_RMSE,test_R2
RGB,KNN_k5,0.47269479616815857,0.537066579090233,1.3078254406311207,0.907223893960627
RGB+HSV+CIELAB,KNN_k5,0.47628801036887075,0.5650269196561901,1.3369784357626402,0.9030416127496314
RGB+HSV,KNN_k5,0.4763897320362227,0.6094180868502936,1.4046490296525374,0.8929782064297196
RGB,RandomForest,0.5278148297229809,0.7609673566536264,1.588102168891495,0.8631976821485781
RGB+HSV+CIELAB,RandomForest,0.5284140784622012,0.5270693640895411,0.906083047583882,0.9554679602524998
RGB+HSV,RandomForest,0.5288735942052244,0.7570578160902965,1.4786999055822792,0.8813967285833159
RGB+HSV+CIELAB,PolynomialRidge2,0.6896248872685411,0.7485222314332257,1.1343118852361271,0.9302086589858403
RGB+HSV,PolynomialRidge2,0.718334007437591,0.7891217474154706,1.1525481867516818,0.9279465530778584
RGB+HSV+CIELAB,Ridge,0.8583043917299022,0.9383092949117405,1.5437148827187022,0.8707380330265716
RGB+HSV+CIELAB,LinearRegression,0.8585808477112014,0.9726829378129171,1.5593765570317863,0.8681018877534405
RGB,PolynomialRidge2,1.1172359644530152,1.3637193628242297,1.968184524221602,0.7898796075572878
RGB+HSV,LinearRegression,1.4803359475025633,1.5766026234970671,2.2424138848371076,0.7272478857429867
RGB+HSV,Ridge,1.482110259901091,1.5803352412266802,2.2358823492960034,0.7288344756625115
RGB,Ridge,1.8215836099921585,2.1473549902453786,2.6164591297808095,0.6286661943563467
RGB,LinearRegression,1.8221584095093686,2.1479386669962426,2.616598517626393,0.6286266288249969
