features,n_features,model,cv_MAE,cv_RMSE,cv_R2,val_MAE,val_RMSE,val_R2,val_within_0.25,val_within_0.5,val_within_1.0,deploy_complexity,mobile_deployment,test_MAE,test_RMSE,test_R2,test_within_0.25,test_within_0.5,test_within_1.0,model_size_kb,selected,mobile_ready
COMBINED_ALL,24,PolynomialRidge2,0.3597993918458268,0.49310476496706496,0.7815245782059368,0.17485208985392245,0.23057036537383527,0.9591419283206118,71.62162162162163,95.94594594594594,100.0,2,native Kotlin (polynomial expansion + dot product),0.2904760126668356,0.3620803323779823,0.8809061875547901,48.78048780487805,85.36585365853658,100.0,4.28,True,True
COMBINED_ALL,24,Ridge,0.3888765491016619,0.5078344941703786,0.7682772994719664,0.3011692680015997,0.3879626946052355,0.884321985813442,47.2972972972973,74.32432432432432,100.0,1,native Kotlin (dot product from exported coefficients),,,,,,,,False,True
RGB+RGBnorm,12,KNN_k5,0.3995270812496409,0.5244026026943486,0.7529107421106325,0.24830750107776423,0.3122704572876786,0.9250567213412139,60.810810810810814,87.83783783783784,100.0,4,requires shipping the full training set; not recommended,,,,,,,,False,False
RGB+RGBnorm,12,PolynomialRidge2,0.40044338017775793,0.5391342697377377,0.7388331416906477,0.26281668642622863,0.37137250288692997,0.894003779558822,60.810810810810814,81.08108108108108,97.2972972972973,2,native Kotlin (polynomial expansion + dot product),,,,,,,,False,True
RGB+RGBnorm,12,RandomForest,0.41105432242990575,0.5098120119549234,0.7664691200107219,0.2430953716216247,0.3259850028705904,0.9183293275271253,55.4054054054054,89.1891891891892,100.0,5,requires ONNX Runtime / tree export,,,,,,,,False,False
RGB,6,PolynomialRidge2,0.4129375837749178,0.5653030415467121,0.7128645380235358,0.350968432236616,0.4462786286884891,0.8469324713732805,45.94594594594595,71.62162162162163,97.2972972972973,2,native Kotlin (polynomial expansion + dot product),,,,,,,,False,True
RGB_norm,6,KNN_k5,0.41438432772070594,0.5504340319734436,0.7277707774646263,0.28275434096974167,0.3750138617301201,0.8919149737498729,59.45945945945946,82.43243243243244,98.64864864864865,4,requires shipping the full training set; not recommended,,,,,,,,False,False
COMBINED_ALL,24,KNN_k5,0.41540996626515936,0.5506589960071779,0.727548210198455,0.25529766098032985,0.33720431707018916,0.9126109249724321,60.810810810810814,83.78378378378379,100.0,4,requires shipping the full training set; not recommended,,,,,,,,False,False
CIELAB,6,PolynomialRidge2,0.4174372368335626,0.545907380341832,0.7322298761084102,0.26870509773258583,0.3340248615255961,0.9142511161617694,56.75675675675676,90.54054054054053,98.64864864864865,2,native Kotlin (polynomial expansion + dot product),,,,,,,,False,True
RGB,6,KNN_k5,0.4179322174389395,0.5474392475238833,0.7307249916051457,0.29303352575824376,0.3858913340330067,0.8855539147137037,52.702702702702695,81.08108108108108,100.0,4,requires shipping the full training set; not recommended,,,,,,,,False,False
HSV,6,PolynomialRidge2,0.4222088015014391,0.53710923762854,0.7407913849774632,0.2990363769835465,0.3569456549573287,0.9020791691185354,47.2972972972973,79.72972972972973,100.0,2,native Kotlin (polynomial expansion + dot product),,,,,,,,False,True
RGB,6,Ridge,0.4287908401334607,0.5382058315919765,0.739731873243529,0.4503226159895935,0.5604557394433695,0.7585909580987142,31.08108108108108,58.108108108108105,93.24324324324324,1,native Kotlin (dot product from exported coefficients),,,,,,,,False,True
RGB_norm,6,RandomForest,0.4288412032710265,0.5394188188424717,0.7385573869810913,0.30196074324324834,0.3926742678773906,0.881495245251515,51.35135135135135,75.67567567567568,98.64864864864865,5,requires ONNX Runtime / tree export,,,,,,,,False,False
RGB,6,LinearRegression,0.4295737246847694,0.5391082569681934,0.7388583432398153,0.4512599653801951,0.5624440928334918,0.7568750047305727,29.72972972972973,58.108108108108105,93.24324324324324,1,native Kotlin (dot product from exported coefficients),,,,,,,,False,True
RGB,6,RandomForest,0.4360430257009374,0.5424459759951569,0.7356147807909656,0.2843581081081076,0.3737747380807911,0.8926280644292947,54.054054054054056,81.08108108108108,95.94594594594594,5,requires ONNX Runtime / tree export,,,,,,,,False,False
RGB+RGBnorm,12,LinearRegression,0.44402497241910865,0.5652129260673339,0.7129560757846808,0.40386145954123764,0.5201924114055071,0.792030850745344,37.83783783783784,68.91891891891892,95.94594594594594,1,native Kotlin (dot product from exported coefficients),,,,,,,,False,True
CIELAB,6,KNN_k5,0.45034708490822345,0.5853713383091367,0.6921160169556134,0.331489221730028,0.4287580477915536,0.8587151938347632,41.891891891891895,78.37837837837837,97.2972972972973,4,requires shipping the full training set; not recommended,,,,,,,,False,False
COMBINED_ALL,24,RandomForest,0.45269592289719485,0.5644995031269527,0.7136802435096617,0.32427810810811925,0.40383649707641794,0.8746622129144129,44.5945945945946,78.37837837837837,100.0,5,requires ONNX Runtime / tree export,,,,,,,,False,False
RGB_norm,6,PolynomialRidge2,0.4529978450550731,0.6343112543671217,0.6384827522397334,0.28057066962491795,0.3690568866825637,0.8953214934346783,54.054054054054056,82.43243243243244,100.0,2,native Kotlin (polynomial expansion + dot product),,,,,,,,False,True
HSV,6,Ridge,0.4559142519699292,0.5692817649222182,0.7088084731085985,0.34237088149697514,0.4394105855461538,0.8516075106184866,44.5945945945946,81.08108108108108,90.54054054054053,1,native Kotlin (dot product from exported coefficients),,,,,,,,False,True
HSV,6,LinearRegression,0.4563576975127735,0.5697732879030181,0.7083054212814957,0.33997868424997013,0.44026900478026104,0.8510271541271646,44.5945945945946,81.08108108108108,90.54054054054053,1,native Kotlin (dot product from exported coefficients),,,,,,,,False,True
RGB+RGBnorm,12,Ridge,0.46513449181955263,0.5754246875663187,0.7024902731651241,0.4286148857531371,0.542214648857638,0.7740494599558376,36.486486486486484,60.810810810810814,94.5945945945946,1,native Kotlin (dot product from exported coefficients),,,,,,,,False,True
HSV,6,RandomForest,0.4880553621495347,0.5852323667006858,0.6922621876016452,0.3786653040540624,0.5047663599425505,0.8041824115033607,40.54054054054054,75.67567567567568,93.24324324324324,5,requires ONNX Runtime / tree export,,,,,,,,False,False
CIELAB,6,LinearRegression,0.4896036917362664,0.6143810984219282,0.6608437066903551,0.3741769763611682,0.45454982225156343,0.8412060781266024,39.189189189189186,70.27027027027027,100.0,1,native Kotlin (dot product from exported coefficients),,,,,,,,False,True
COMBINED_ALL,24,LinearRegression,0.49484273770206477,0.6493879723385411,0.6210929646004553,0.2864605180567598,0.35635155830829823,0.9024048546912506,51.35135135135135,82.43243243243244,100.0,1,native Kotlin (dot product from exported coefficients),,,,,,,,False,True
CIELAB,6,Ridge,0.4956580440708666,0.6184025570097907,0.6563892508632893,0.37452943528358773,0.4528319358517353,0.8424040741485375,40.54054054054054,71.62162162162163,100.0,1,native Kotlin (dot product from exported coefficients),,,,,,,,False,True
HSV,6,KNN_k5,0.49854548037319824,0.661370170974933,0.6069811368292499,0.29451404449685065,0.38487724414901836,0.8861546336778219,55.4054054054054,78.37837837837837,100.0,4,requires shipping the full training set; not recommended,,,,,,,,False,False
CIELAB,6,RandomForest,0.49934584112149194,0.6443304944004767,0.6269718901774226,0.3543228378378431,0.4327493192156304,0.856072534701241,37.83783783783784,72.97297297297297,97.2972972972973,5,requires ONNX Runtime / tree export,,,,,,,,False,False
RGB_norm,6,Ridge,0.5104428280706884,0.6409753047292776,0.6308466762604737,0.3981530378993673,0.4787723184600302,0.8238312164606046,35.13513513513514,60.810810810810814,98.64864864864865,1,native Kotlin (dot product from exported coefficients),,,,,,,,False,True
