parameter,dataset_a,dataset_b,n_a,n_b,median_a,median_b,iqr_a,iqr_b,range_overlap_frac,ks_stat,ks_pvalue,wasserstein
water_temp,D2_FISHPOND_MULTICLASS,D3_IOTMLCQ_2024,2153,4383,27.53,27.45,7.56,1.1,0.0805,0.4501,2.4422778353894967e-264,3.8285
water_temp,D2_FISHPOND_MULTICLASS,D4_AQUAPONIC_IOT_raw,2153,505730,27.53,24.19,7.56,1.19,0.2418,0.5502,0.0,4.3978
water_temp,D2_FISHPOND_MULTICLASS,D4_AQUAPONIC_IOT_filtered,2153,118286,27.53,24.56,7.56,0.63,0.0953,0.5863,0.0,4.5231
water_temp,D3_IOTMLCQ_2024,D4_AQUAPONIC_IOT_raw,4383,505730,27.45,24.19,1.1,1.19,0.1027,0.98,0.0,3.1596
water_temp,D3_IOTMLCQ_2024,D4_AQUAPONIC_IOT_filtered,4383,118286,27.45,24.56,1.1,0.63,0.0,1.0,0.0,2.6903
water_temp,D4_AQUAPONIC_IOT_raw,D4_AQUAPONIC_IOT_filtered,505730,118286,24.19,24.56,1.19,0.63,0.3939,0.4215,0.0,0.5622
ph_sensor,D2_FISHPOND_MULTICLASS,D3_IOTMLCQ_2024,2153,4383,7.57,7.89,2.68,0.09,0.1068,0.4626,6.878143603530642e-280,1.2548
ph_sensor,D2_FISHPOND_MULTICLASS,D4_AQUAPONIC_IOT_raw,2153,505730,7.57,7.84,2.68,2.06,0.4428,0.1443,8.793816112247282e-36,0.3531
ph_sensor,D2_FISHPOND_MULTICLASS,D4_AQUAPONIC_IOT_filtered,2153,118286,7.57,7.49,2.68,0.93,0.3339,0.3674,8.340107550371901e-236,0.8857
ph_sensor,D3_IOTMLCQ_2024,D4_AQUAPONIC_IOT_raw,4383,505730,7.89,7.84,0.09,2.06,0.0623,0.463,0.0,1.0311
ph_sensor,D3_IOTMLCQ_2024,D4_AQUAPONIC_IOT_filtered,4383,118286,7.89,7.49,0.09,0.93,0.32,0.5435,0.0,0.4632
ph_sensor,D4_AQUAPONIC_IOT_raw,D4_AQUAPONIC_IOT_filtered,505730,118286,7.84,7.49,2.06,0.93,0.1947,0.3403,0.0,0.7311
do_mgL,D2_FISHPOND_MULTICLASS,D3_IOTMLCQ_2024,2153,4383,6.94,6.68,5.26,1.33,0.1003,0.4566,2.4404993814085713e-272,2.5275
tds_ppm,D2_FISHPOND_MULTICLASS,D4_AQUAPONIC_IOT_raw,2153,505730,127.57,342.0,405.73,98.0,0.4937,0.6473,0.0,314.4816
tds_ppm,D2_FISHPOND_MULTICLASS,D4_AQUAPONIC_IOT_filtered,2153,118286,127.57,325.0,405.73,48.0,0.0787,0.6385,0.0,342.8079
tds_ppm,D4_AQUAPONIC_IOT_raw,D4_AQUAPONIC_IOT_filtered,505730,118286,342.0,325.0,98.0,48.0,0.1593,0.2388,0.0,56.2567
turbidity_NTU,D2_FISHPOND_MULTICLASS,D3_IOTMLCQ_2024,2153,4383,41.48,3.3,92.52,0.92,0.002,0.9684,0.0,98.0773
