Model,Feature_Set,n_features,CV_Macro_F1,CV_Macro_F1_std,CV_Balanced_Accuracy,CV_HighRisk_Recall,Validation_Macro_F1,Validation_Balanced_Accuracy,Validation_HighRisk_Recall,Validation_HighRisk_FN,Test_Macro_F1,Test_Balanced_Accuracy,Test_HighRisk_Recall,Model_Size_KB,Fit_Time_s,Inference_Time_ms_per_sample,Deployable_Features,Mobile_Ready,Is_Final_Model
DummyClassifier,A_sensor_only,5,0.1188,0.0006,0.25,0.0,0.1186,0.25,0.0,170,,,,1.0,0.0,0.0005,True,True,False
LogisticRegression,A_sensor_only,5,0.3029,0.0296,0.3263,0.4941,0.3071,0.3562,0.5353,79,,,,2.3,0.009,0.0022,True,True,False
DecisionTree_d3,A_sensor_only,5,0.5545,0.0097,0.6178,0.7056,0.5662,0.6302,0.7353,45,,,,3.2,0.006,0.0022,True,True,False
DecisionTree_d6,A_sensor_only,5,0.9937,0.0028,0.9934,0.994,0.997,0.9974,1.0,0,0.9928,0.9929,0.9941,4.1,0.009,0.0025,True,True,True
RandomForest,A_sensor_only,5,0.9987,0.0022,0.9987,1.0,1.0,1.0,1.0,0,,,,599.7,0.307,0.0274,True,False,False
GradientBoosting,A_sensor_only,5,0.995,0.0071,0.9952,0.998,1.0,1.0,1.0,0,,,,515.5,0.811,0.0064,True,False,False
MLP_32_16,A_sensor_only,5,0.9985,0.0015,0.9983,0.996,0.9948,0.994,0.9941,1,,,,39.6,0.581,0.0033,True,False,False
DummyClassifier,B_visual_proxy_only,1,0.1188,0.0006,0.25,0.0,0.1186,0.25,0.0,170,,,,1.0,0.0,0.0005,False,True,False
LogisticRegression,B_visual_proxy_only,1,0.9276,0.0122,0.9229,0.9289,0.9598,0.956,0.9412,10,,,,2.0,0.008,0.0023,False,True,False
DecisionTree_d3,B_visual_proxy_only,1,0.9977,0.0027,0.9976,1.0,0.9978,0.9974,0.9941,1,,,,2.8,0.004,0.0021,False,True,False
DecisionTree_d6,B_visual_proxy_only,1,0.9977,0.0027,0.9976,1.0,0.9978,0.9974,0.9941,1,,,,3.1,0.004,0.0019,False,True,False
RandomForest,B_visual_proxy_only,1,0.9977,0.0027,0.9976,1.0,0.9978,0.9974,0.9941,1,,,,264.2,0.198,0.0232,False,False,False
GradientBoosting,B_visual_proxy_only,1,0.9977,0.0027,0.9976,1.0,0.9978,0.9974,0.9941,1,,,,287.9,0.276,0.0056,False,False,False
MLP_32_16,B_visual_proxy_only,1,0.9912,0.0046,0.9901,0.9881,0.9909,0.9901,0.9941,1,,,,42.1,1.18,0.0037,False,False,False
DummyClassifier,C_sensor_plus_visual,6,0.1188,0.0006,0.25,0.0,0.1186,0.25,0.0,170,,,,1.0,0.0,0.0005,False,True,False
LogisticRegression,C_sensor_plus_visual,6,0.9206,0.0104,0.9152,0.917,0.9532,0.9501,0.9412,10,,,,2.4,0.008,0.0022,False,True,False
DecisionTree_d3,C_sensor_plus_visual,6,0.9977,0.0027,0.9976,1.0,0.9978,0.9974,0.9941,1,,,,2.9,0.006,0.0023,False,True,False
DecisionTree_d6,C_sensor_plus_visual,6,0.9977,0.0027,0.9976,1.0,0.9978,0.9974,0.9941,1,,,,3.0,0.006,0.0022,False,True,False
RandomForest,C_sensor_plus_visual,6,0.9987,0.0013,0.9987,1.0,1.0,1.0,1.0,0,,,,429.5,0.312,0.031,False,False,False
GradientBoosting,C_sensor_plus_visual,6,0.9977,0.0027,0.9976,1.0,0.9978,0.9974,0.9941,1,,,,288.0,0.642,0.0066,False,False,False
MLP_32_16,C_sensor_plus_visual,6,0.9949,0.0067,0.9943,1.0,1.0,1.0,1.0,0,,,,38.8,0.399,0.0039,False,False,False
DummyClassifier,E_full_temporal_fusion,19,0.1188,0.0006,0.25,0.0,0.1186,0.25,0.0,170,,,,1.3,0.0,0.0005,False,True,False
LogisticRegression,E_full_temporal_fusion,19,0.9731,0.0044,0.9701,0.9605,0.9853,0.984,0.9765,4,,,,3.5,0.011,0.0025,False,True,False
DecisionTree_d3,E_full_temporal_fusion,19,0.9982,0.0018,0.998,0.998,0.9958,0.9955,0.9941,1,,,,3.2,0.009,0.0021,False,True,False
DecisionTree_d6,E_full_temporal_fusion,19,0.9982,0.0018,0.998,0.998,0.9958,0.9955,0.9941,1,,,,3.4,0.009,0.0022,False,True,False
RandomForest,E_full_temporal_fusion,19,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0,,,,487.6,0.382,0.0284,False,False,False
GradientBoosting,E_full_temporal_fusion,19,0.9982,0.0018,0.998,0.998,0.9978,0.9974,0.9941,1,,,,288.2,1.486,0.006,False,False,False
MLP_32_16,E_full_temporal_fusion,19,0.9904,0.0027,0.9892,0.9961,1.0,1.0,1.0,0,,,,51.8,0.362,0.0038,False,False,False
